Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2067679,3464965,1397250,32.372493267059326,46.14858841896057,33.53978443145752,5.204122489226133,36.66522068977356
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2851135,4623310,1772598,41.17245554924011,55.96195340156555,43.41015601158142,6.8113105603020685,47.58236842155456
Model_7,order_table,O_ORDERKEY,JOIN QUERY,3035411,4220324,1185532,27.27838921546936,35.20683312416077,27.72515106201172,3.7366199978237247,30.47935280799866
Model_7,order_table,O_ORDERKEY,JOIN QUERY,4143101,5101236,958435,22.987825870513916,23.846351861953735,23.071815252304077,0.3589713650734349,23.32764959335327
Model_7,order_table,O_ORDERKEY,JOIN QUERY,2958282,4571838,1613984,37.24368238449097,39.19756746292114,38.648881912231445,0.6737674124823858,38.39102869033813
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2734631,5710646,744001,5.592798471450806,7.4737255573272705,5.7447121143341064,0.7232339173609,6.033347702026367
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2375508,5568153,798160,5.8786351680755615,6.318384885787964,5.8906309604644775,0.17321879450148747,5.9721826076507565
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,751274,2941974,547672,3.773859739303589,4.814246654510498,4.390488862991333,0.3413729111709851,4.331321716308594
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2772241,4881947,527424,3.678893566131592,4.108628511428833,4.040706396102905,0.17124794204270583,3.932753086090088
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,1514225,5058797,886144,6.471298933029175,6.985001802444458,6.6861724853515625,0.19783901928894254,6.702360200881958
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2067679,3464965,349326,2.5175576210021973,2.9523122310638428,2.8063955307006836,0.14382928583462268,2.7732131481170654
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2851135,4623310,443048,3.2061843872070312,3.655886173248291,3.335089921951294,0.1540485521339467,3.3976550579071043
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,3035411,4220324,296229,2.0808119773864746,2.452594041824341,2.21173357963562,0.1218917263283875,2.241517114639282
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,4143101,5101236,239536,1.7250142097473145,2.014846086502075,1.7969706058502197,0.12195967260520273,1.8617345333099364
Model_8,order_table,O_ORDERKEY,SELECTION QUERY,2958282,4571838,403384,2.851370096206665,3.610914468765259,3.1352033615112305,0.27488882373602297,3.1475990772247315
