Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,197707.72565,331022.48465,2523883,95.63928270339966,163.4605085849762,103.839595079422,25.02162775224965,114.10991206169129
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,114957.60822,375473.07287,4705691,241.0591151714325,378.06663513183594,321.8837184906006,48.57933700995009,315.70814542770387
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,377132.27338,430899.26377,54631,21.847498893737793,70.04591631889343,22.058374881744385,18.930847815677737,35.720557355880736
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,129471.3623,294847.82758,3834944,117.29187369346619,229.6756148338318,215.6086151599884,40.945474591199385,196.5519208908081
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,535171.59884,535936.76203,0,2.6134893894195557,22.74491000175476,5.848669052124023,8.223266573590642,11.192580461502075
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,50695.7925,189945.78611,2711164,71.55005145072937,133.951726436615,118.32428288459778,21.618057083928743,111.00875682830811
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,432590.41557,518176.2325,5706,12.263008117675781,27.79309344291687,13.371327638626099,5.901975659170348,16.823976755142212
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,52187.58294,201536.38432,3006301,92.62697076797485,161.35367918014526,154.9093451499939,25.882829228220693,142.44228148460388
Model_4,order_table,O_TOTALPRICE,JOIN QUERY,523088.66241,531570.03012,14,2.3129892349243164,10.823802709579468,5.6040637493133545,3.4870271125270142,6.617332983016968
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2164895,5541674,3376974,63.19078278541565,96.56371712684631,74.21153163909912,11.186724980625609,77.12765011787414
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,2415605,3246854,831395,12.83565354347229,17.649897813796997,13.315382480621338,1.8009353169923916,14.15050187110901
Model_5,lineitem_table,L_ORDERKEY,SELECTION QUERY,4677969,5897459,1219931,20.545239448547363,21.329790592193604,20.91702914237976,0.3120940883422445,20.953607654571535
