Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result_Set_Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,3104500.0,3404500.0,300675,6.233368873596191,7.156805038452148,6.8390772342681885,0.30833857849417434,6.7908796787261965
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,4447794.0,4747794.0,300628,6.350635051727295,7.539871692657471,6.902938604354858,0.39217198116027524,6.945737028121949
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1746273.0,2046273.0,300245,6.1702492237091064,7.025102853775024,6.5722527503967285,0.2973637332258315,6.571382474899292
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1265161.0,1565161.0,299551,6.331216812133789,7.192143201828003,6.838968753814697,0.28375239113229506,6.817556142807007
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2211437.0,2511437.0,299995,6.345818996429443,7.02695107460022,6.717024803161621,0.2251170825263519,6.694201231002808
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,5337387.0,5637387.0,299276,6.474328994750977,7.326373100280762,6.752589225769043,0.28242527655326155,6.849936628341675
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,5563174.0,5863174.0,300227,6.805839538574219,8.785048961639404,6.939082860946655,0.754100118430794,7.2831830978393555
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,3832587.0,4132587.0,299823,6.286991596221924,6.949961423873901,6.741124391555786,0.28009229488222526,6.627015829086304
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,5146155.0,5446155.0,299790,6.549299001693726,7.029341220855713,6.732256174087524,0.1748201008413357,6.730745697021485
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,4820780.0,5120780.0,300235,6.30133843421936,7.152117729187012,6.514587879180908,0.3169722128669461,6.600456476211548
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2154567.0,2454567.0,299961,5.879943370819092,6.768748998641968,6.446889400482178,0.2960083555513158,6.402709245681763
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,525638.0,825638.0,300027,6.401090145111084,8.033867359161377,6.7435877323150635,0.5958948567021111,6.958781003952026
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,3724442.0,4024442.0,299824,5.926758527755737,6.750329256057739,6.295868158340454,0.2703272481673989,6.299733257293701
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,3179693.0,3479693.0,300662,6.11806845664978,7.239403009414673,6.306038856506348,0.39656307941787383,6.466409349441529
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2060920.0,2360920.0,299344,6.388937950134277,7.142764091491699,6.820866823196411,0.25505113618535374,6.777789640426636
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1282811.0,1582811.0,299835,6.039639472961426,6.758323669433594,6.711653709411621,0.2717574987087723,6.566183137893677
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2317164.0,2617164.0,299677,6.490761041641235,7.039000034332275,6.866907596588135,0.18635301254428221,6.815143346786499
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2672960.0,2972960.0,300482,6.574451684951782,7.738004207611084,7.0890960693359375,0.4549915557443328,7.163964891433716
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1534644.0,1834644.0,300483,5.995423793792725,7.095010280609131,6.683503150939941,0.4417031657622393,6.564376878738403
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1663220.0,1963220.0,300476,6.052250146865845,6.761077165603638,6.454063653945923,0.2517226018666854,6.48066086769104
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2608813.0,2908813.0,299976,5.897050619125366,6.993082284927368,6.476416110992432,0.41482824865711143,6.507877159118652
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,4905043.0,5205043.0,299527,6.680990695953369,7.227794408798218,6.885975360870361,0.19282568336619801,6.894148969650269
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,3341642.0,3641642.0,300899,6.3282740116119385,6.955270051956177,6.751199007034302,0.21303710802732523,6.691283893585205
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1615882.0,1915882.0,300704,5.863218545913696,6.706267356872559,6.297616243362427,0.33245010004273895,6.3186845779418945
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,1584473.0,1884473.0,300694,6.884305238723755,7.104910135269165,6.999719619750977,0.0742870851164585,6.996807861328125
Model_JOIN_o_orderkey,order_table,o_orderkey,JOIN,2591346.0,2891346.0,299937,6.088357210159302,6.914379119873047,6.664966106414795,0.28985541757304445,6.582767152786255
Model_JOIN_l_orderkey,lineitem_table,l_orderkey,JOIN,1170840.0,1470840.0,300250,6.0210280418396,6.796206712722778,6.673492908477783,0.27537034353058704,6.5308637619018555
